Date,Open,High,Low,Close,Volume,OpenInt
1998-01-20,1440,1440,1440,1440,4,12
1998-01-22,1370,1370,1370,1370,9,21
1998-01-23,1370,1370,1370,1370,2,22
1998-01-28,1382,1390,1382,1389,8,9
1998-01-29,1417,1417,1412,1412,4,21
1998-01-30,1410,1410,1380,1380,2,9
1998-02-02,1433,1485,1433,1485,22,25
1998-02-03,1507,1551,1507,1543,15,26
1998-02-04,1490,1504,1490,1504,3,9
1998-02-05,1544,1569,1544,1565,20,29
1998-02-06,1580,1595,1553,1553,16,19
1998-02-09,1609,1615,1588,1615,7,35
1998-02-10,1571,1571,1571,1571,1,21
1998-02-11,1610,1610,1581,1585,11,18
1998-02-12,1560,1560,1555,1560,7,30
1998-02-13,1585,1590,1585,1590,8,14
1998-02-16,1585,1588,1585,1585,3,17
1998-02-17,1595,1600,1590,1600,5,35
1998-02-18,1661,1700,1661,1693,21,35
1998-02-19,1751,1767,1745,1745,13,38
1998-02-20,1750,1752,1730,1739,8,38
1998-02-23,1751,1775,1751,1775,13,38
1998-02-24,1723,1730,1723,1730,11,41
1998-02-25,1741,1741,1737,1737,13,39
1998-02-26,1755,1755,1749,1749,5,22
1998-02-27,1737,1737,1730,1730,4,39
1998-03-02,1748,1767,1748,1767,8,21
1998-03-03,1729,1729,1720,1720,8,40
1998-03-04,1690,1690,1690,1690,8,40
1998-03-05,1679,1683,1667,1683,10,43
1998-03-06,1718,1725,1718,1723,20,57
1998-03-09,1801,1801,1780,1780,12,56
1998-03-10,1860,1860,1819,1835,40,59
1998-03-11,1830,1830,1819,1829,9,57
1998-03-12,1834,1847,1834,1847,9,63
1998-03-13,1840,1840,1835,1835,6,67
1998-03-16,1829,1829,1829,1829,4,71
1998-03-17,1814,1817,1814,1815,5,52
1998-03-18,1822,1829,1822,1825,22,85
1998-03-19,1825,1825,1820,1820,8,86
1998-03-20,1815,1820,1810,1820,5,61
1998-03-23,1805,1810,1805,1805,21,70
1998-03-24,1780,1791,1780,1791,6,65
1998-03-25,1814,1822,1814,1817,9,68
1998-03-26,1809,1809,1790,1790,7,68
1998-03-27,1780,1790,1773,1785,15,80
1998-03-30,1752,1753,1745,1745,17,84
1998-03-31,1723,1727,1723,1727,5,68
1998-04-01,1727,1732,1725,1725,24,85
1998-04-02,1730,1730,1730,1730,4,83
1998-04-06,1753,1755,1747,1750,17,80
1998-04-07,1789,1794,1783,1783,30,79
1998-04-08,1749,1749,1734,1736,26,81
1998-04-09,1742,1742,1730,1730,15,87
1998-04-14,1784,1784,1763,1770,12,91
1998-04-15,1745,1745,1730,1740,19,83
1998-04-16,1714,1717,1709,1714,14,103
1998-04-17,1708,1708,1702,1706,8,105
1998-04-20,1693,1693,1673,1678,24,108
1998-04-21,1647,1663,1636,1659,23,114
1998-04-22,1680,1689,1662,1663,24,108
1998-04-23,1706,1720,1701,1716,20,105
1998-04-24,1745,1759,1745,1755,34,105
1998-04-27,1730,1730,1716,1716,18,109
1998-04-28,1683,1724,1678,1724,31,108
1998-04-29,1748,1758,1740,1740,37,103
1998-04-30,1784,1800,1783,1787,31,90
1998-05-04,1811,1811,1790,1800,15,97
1998-05-05,1771,1779,1770,1770,10,99
1998-05-06,1775,1775,1773,1773,8,103
1998-05-07,1775,1789,1775,1785,17,96
1998-05-08,1798,1798,1785,1795,11,101
1998-05-11,1795,1795,1781,1781,11,104
1998-05-12,1750,1750,1730,1740,17,103
1998-05-13,1730,1738,1727,1738,22,109
1998-05-14,1717,1719,1708,1710,22,120
1998-05-15,1730,1738,1730,1735,14,119
1998-05-18,1701,1710,1697,1702,31,123
1998-05-19,1670,1700,1670,1700,22,131
1998-05-20,1702,1729,1702,1715,23,139
1998-05-21,1760,1780,1760,1762,40,143
1998-05-22,1748,1748,1720,1728,32,151
1998-05-25,1710,1714,1705,1706,21,162
1998-05-26,1680,1705,1680,1705,25,162
1998-05-27,1620,1627,1594,1594,71,175
1998-05-28,1639,1639,1601,1614,31,178
1998-05-29,1608,1608,1595,1600,21,178
1998-06-01,1525,1525,1502,1505,59,183
1998-06-02,1499,1535,1486,1528,106,187
1998-06-03,1580,1590,1570,1573,78,178
1998-06-04,1610,1610,1577,1577,45,190
1998-06-05,1606,1611,1595,1602,47,194
1998-06-08,1660,1660,1611,1611,50,192
1998-06-09,1568,1573,1560,1560,66,218
1998-06-10,1535,1583,1535,1570,46,203
1998-06-15,1520,1523,1492,1496,89,224
1998-06-16,1550,1588,1550,1578,45,233
1998-06-17,1595,1595,1576,1593,85,210
1998-06-18,1613,1613,1583,1585,63,237
1998-06-19,1554,1580,1554,1580,48,235
1998-06-22,1599,1605,1597,1601,51,195
1998-06-23,1590,1590,1571,1571,40,208
1998-06-24,1573,1584,1570,1582,13,216
1998-06-25,1612,1620,1608,1616,54,242
1998-06-26,1589,1601,1582,1601,23,248
1998-06-29,1585,1593,1585,1585,22,261
1998-06-30,1610,1621,1605,1608,65,264
1998-07-01,1610,1617,1608,1617,19,266
1998-07-02,1635,1645,1635,1640,73,265
1998-07-03,1677,1695,1671,1692,76,230
1998-07-06,1694,1698,1675,1696,47,245
1998-07-07,1670,1688,1670,1685,66,253
1998-07-08,1651,1664,1651,1659,58,259
1998-07-09,1639,1669,1638,1660,57,266
1998-07-10,1664,1673,1664,1673,27,267
1998-07-13,1701,1742,1701,1740,64,266
1998-07-14,1770,1775,1745,1755,97,262
1998-07-15,1735,1750,1731,1744,69,289
1998-07-16,1732,1749,1732,1749,23,288
1998-07-17,1745,1749,1735,1749,51,293
1998-07-20,1749,1780,1749,1780,37,293
1998-07-21,1760,1765,1745,1746,44,303
1998-07-22,1695,1710,1695,1697,72,312
1998-07-23,1719,1745,1719,1735,74,327
1998-07-24,1735,1738,1725,1725,29,323
1998-07-27,1683,1683,1675,1680,65,316
1998-07-28,1645,1672,1643,1672,42,312
1998-07-29,1649,1685,1649,1669,32,314
1998-07-30,1697,1706,1660,1679,85,323
1998-07-31,1670,1670,1652,1663,41,327
1998-08-03,1610,1620,1605,1620,58,326
1998-08-04,1640,1660,1640,1647,86,340
1998-08-05,1620,1620,1608,1611,64,346
1998-08-06,1618,1618,1582,1588,119,345
1998-08-07,1587,1609,1587,1607,57,351
1998-08-10,1587,1591,1580,1589,37,351
1998-08-11,1546,1546,1502,1509,161,319
1998-08-12,1498,1529,1491,1527,115,311
1998-08-13,1408,1431,1408,1431,128,301
1998-08-14,1469,1475,1460,1461,106,308
1998-08-17,1415,1430,1408,1430,140,350
1998-08-18,1493,1498,1472,1480,169,342
1998-08-19,1500,1500,1475,1499,98,327
1998-08-20,1468,1471,1465,1465,59,328
1998-08-21,1409,1416,1399,1399,148,365
